A7N07S  	007	SUN	SEW	SEWARD              	0600	0000	7-DAY GLACIER DISCOVERY NORTHBOUND                                             	20170731
A7R14S  	000	SUN	YVR	VANCOUVER           	0000	1630	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	009	TUE	GB1	GLACIER BAY         	1000	1900	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	010	WED	HNS	HAINES              	0630	2100	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	011	THU	JNU	JUNEAU              	0800	1800	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	012	FRI	KTN	KETCHIKAN           	1100	1900	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	013	SAT	270	SCENIC CRUISING THE 	0000	0000	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	014	SUN	YVR	VANCOUVER           	0700	0000	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	001	MON	270	SCENIC CRUISING THE 	0000	0000	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	002	TUE	KTN	KETCHIKAN           	0700	1500	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	003	WED	JNU	JUNEAU              	1000	2200	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	004	THU	SGY	SKAGWAY             	0700	2100	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	005	FRI	GB1	GLACIER BAY         	0700	1600	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	006	SAT	***	AT SEA              	0000	0000	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	007	SUN	SEW	SEWARD              	0600	2000	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7R14S  	008	MON	***	AT SEA              	0000	0000	14-DAY ALASKA ROUNDTRIP COLLECTORS' VOYAGE                                     	20170731
A7S07A  	000	SUN	SEW	SEWARD              	0000	2000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	001	MON	***	AT SEA              	0000	0000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	002	TUE	GB1	GLACIER BAY         	1000	1900	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	003	WED	HNS	HAINES              	0630	2100	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	004	THU	JNU	JUNEAU              	0800	1800	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	005	FRI	KTN	KETCHIKAN           	1100	1900	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	006	SAT	270	SCENIC CRUISING THE 	0000	0000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07A  	007	SUN	YVR	VANCOUVER           	0700	0000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	000	SUN	SEW	SEWARD              	0000	2000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	001	MON	***	AT SEA              	0000	0000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	002	TUE	GB1	GLACIER BAY         	1000	1900	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	003	WED	HNS	HAINES              	0630	2100	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	004	THU	JNU	JUNEAU              	0800	1800	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	005	FRI	KTN	KETCHIKAN           	1100	1900	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	006	SAT	270	SCENIC CRUISING THE 	0000	0000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
A7S07S  	007	SUN	YVR	VANCOUVER           	0700	0000	7-DAY GLACIER DISCOVERY SOUTHBOUND                                             	20170731
